mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.44498796463012696,0.025962728164276742,0.06421456336975098,0.015590585493900423,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9481327800829875,0.946712802768166,0.9487889273356401,0.9460207612456747,0.9515570934256056,0.9482424729716149,0.0019273426047431437,28
2.4567237854003907,0.39399170145826323,0.5081558227539062,0.056514529197401464,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9495159059474412,0.9550173010380623,0.9529411764705882,0.9515570934256056,0.9577854671280277,0.953363388801945,0.0028472545710499664,20
0.46994404792785643,0.05883456420330226,0.06922407150268554,0.01060225639908716,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9481327800829875,0.946712802768166,0.9487889273356401,0.9460207612456747,0.9515570934256056,0.9482424729716149,0.0019273426047431437,28
0.532363748550415,0.05151238010613876,0.2857235908508301,0.015521877849466207,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9488243430152143,0.9536332179930795,0.9536332179930795,0.9446366782006921,0.9570934256055363,0.9515641765615204,0.004350434030818324,26
0.40368943214416503,0.026965010001590607,0.060813283920288085,0.0014698880686613643,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.9481327800829875,0.946712802768166,0.9487889273356401,0.9460207612456747,0.9515570934256056,0.9482424729716149,0.0019273426047431437,28
0.7576201438903809,0.031384817945513614,0.4208956718444824,0.005270749039734939,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9114799446749654,0.9259515570934256,0.9238754325259516,0.916955017301038,0.9204152249134948,0.919735435301775,0.0051405390925308376,35
0.35581021308898925,0.01892089299941658,0.05961489677429199,0.0004904685213833434,1,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9481327800829875,0.946712802768166,0.9487889273356401,0.9460207612456747,0.9515570934256056,0.9482424729716149,0.0019273426047431437,28
1.556249189376831,0.07788486273523247,0.7431742191314697,0.03550765448436021,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8554633471645919,0.8705882352941177,0.8657439446366783,0.8491349480968858,0.859515570934256,0.8600892092253061,0.0075356363836048225,38
0.4564667701721191,0.07680813345074532,0.0690150260925293,0.011228640309661272,1,0.0001,linear,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.9481327800829875,0.946712802768166,0.9487889273356401,0.9460207612456747,0.9515570934256056,0.9482424729716149,0.0019273426047431437,28
3.097861576080322,0.09119561269175849,0.9523250102996826,0.0735055195975281,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6887966804979253,0.6996539792387543,0.7058823529411765,0.7003460207612456,0.6975778546712803,0.6984513776220764,0.005553945199062938,40
0.804250955581665,0.11116518936261385,0.047010946273803714,0.0034074228325196056,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9515905947441217,0.946712802768166,0.9550173010380623,0.9522491349480969,0.9529411764705882,0.951702201993807,0.002747021510466727,21
2.12101526260376,0.17862731779592037,0.5978803157806396,0.07366336814898312,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9495159059474412,0.9557093425605536,0.9570934256055363,0.9550173010380623,0.9584775086505191,0.9551626967604225,0.0030633935356898603,7
0.6321198463439941,0.03076798330364291,0.048028087615966795,0.0015761066996248542,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9515905947441217,0.946712802768166,0.9550173010380623,0.9522491349480969,0.9529411764705882,0.951702201993807,0.002747021510466727,21
0.48487234115600586,0.03571503187014568,0.1959527015686035,0.01317463079661429,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9626556016597511,0.9660899653979239,0.9633217993079585,0.9570934256055363,0.9674740484429065,0.9633269680828154,0.0035816264764110847,1
0.8071634292602539,0.08697189811789284,0.050916194915771484,0.005024201898357448,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.9515905947441217,0.946712802768166,0.9550173010380623,0.9522491349480969,0.9529411764705882,0.951702201993807,0.002747021510466727,21
0.4782700538635254,0.024942792678081527,0.2748828411102295,0.02018884155101607,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9508990318118948,0.9522491349480969,0.9529411764705882,0.9453287197231834,0.9522491349480969,0.950733439580372,0.0027823437815531014,27
0.6733885765075683,0.0760344863216698,0.05081110000610352,0.004355481973131716,10,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9515905947441217,0.946712802768166,0.9550173010380623,0.9522491349480969,0.9529411764705882,0.951702201993807,0.002747021510466727,21
0.8309560775756836,0.12389379280141113,0.46801223754882815,0.04104228455448115,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9149377593360996,0.9259515570934256,0.9197231833910035,0.9155709342560554,0.916955017301038,0.9186276902755244,0.00401488014546581,36
0.7468525886535644,0.10686416487387433,0.05121159553527832,0.007197511915207531,10,0.0001,linear,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.9515905947441217,0.946712802768166,0.9550173010380623,0.9522491349480969,0.9529411764705882,0.951702201993807,0.002747021510466727,21
