MAV,ZC,SSC,WL,VAR,IEMG,RMS,Label
0.3880009888993015,68,127,75.94818652043155,0.2578439206576048,97.00024722482537,0.5077876867108615,0
0.26948977979344263,79,135,68.49658330650024,0.12156348473000304,67.37244494836065,0.3488936184978417,0
0.31224489411536877,84,132,73.77994069857188,0.18386842283350177,78.06122352884219,0.4288008362711408,0
0.2489404146727273,94,135,66.86516327073147,0.10456057988546479,62.23510366818182,0.3233600064666388,0
0.25808192669572805,76,129,60.94806712824759,0.1127547416736981,64.52048167393201,0.3357943286232719,0
0.280901724690539,91,118,66.24287140327151,0.14162655224936918,70.22543117263474,0.3763330464274618,0
0.2601699249674645,87,142,69.05572550428067,0.11704723920985073,65.04248124186613,0.3421610848994833,0
0.23349535410756864,84,144,62.70692095491435,0.08993362354090309,58.37383852689216,0.3000482612115481,0
0.25463594049020394,81,137,65.52174122158054,0.11324286521107092,63.65898512255099,0.3365217639421745,0
0.2717676314500225,72,134,62.571371252169,0.12773067582717557,67.94190786250562,0.3574406333061826,0
0.2992676646223138,73,137,66.24615088985752,0.1582001852478093,74.81691615557845,0.39780240533275935,0
0.3846811668311031,69,118,78.14181748455906,0.26747917382675035,96.17029170777577,0.5172111513194376,0
1.0104165305684054,60,99,200.18087429284276,1.8644471808066754,252.60413264210138,1.3658888846986323,3
2.87977011349925,70,99,574.6790673594433,14.445926099308364,719.9425283748126,3.80079777894885,3
3.3985004548433806,66,103,672.667207327187,18.63898117284168,849.6251137108452,4.318719924435985,3
2.8900612540998796,65,116,624.359060035129,12.608536251639176,722.5153135249699,3.5521769586782153,3
3.1764449469372478,75,107,716.7909743768373,16.57554469828863,794.1112367343119,4.071439883531318,3
2.532765491338597,72,106,560.0568443656861,11.253024426111093,633.1913728346492,3.3546016670065533,3
2.1909951163579913,74,100,495.6263759117947,7.588125622765463,547.7487790894978,2.7549485062563783,3
1.9177250409227242,70,115,421.66270900532686,5.842945446000045,479.43126023068106,2.417220789244469,3
1.8293831456957836,67,108,379.1891292621948,5.542827014861921,457.3457864239459,2.354398218857225,3
1.767588941929132,59,95,332.1495090711524,5.691186474040989,441.897235482283,2.386480239758345,3
1.7318589094251173,63,104,347.48745703277365,4.823994764060399,432.96472735627935,2.1963849701680984,3
1.7373462036937792,64,100,355.9941396861626,5.3356106640251815,434.3365509234448,2.3098952340363583,3
1.6813957642134165,73,111,364.6620366274366,4.818237182381459,420.3489410533541,2.195062128553599,3
2.096316470926256,70,106,467.31260559916564,7.387974215148372,524.079117731564,2.718198718351798,3
2.198511162236053,61,98,458.0271505804799,7.6407449673140855,549.6277905590132,2.764828500809032,3
2.5270745639884997,60,109,476.08691857374913,10.354716435325663,631.768640997125,3.218333679376084,3
2.514530407182193,55,107,447.76017635912405,10.203971638864248,628.6326017955482,3.196421948444549,3
2.63565916615092,57,104,460.0918183405671,12.634266958769356,658.91479153773,3.554594591177693,3
1.6775129308954568,70,116,366.7955255539974,4.5289571412301495,419.3782327238642,2.1282390612644853,3
1.6326462822704553,70,110,354.22199520771596,4.261374664816559,408.1615705676138,2.06434730772255,3
1.5976203871275865,66,100,329.3397085032062,4.421752353117934,399.40509678189665,2.1028036697197225,3
1.3763317377229896,61,104,243.84869165098286,3.868909366872287,344.0829344307474,1.9670997430310446,3
0.8985965405877705,62,101,171.2407972964617,1.6271775545571094,224.64913514694263,1.275731192877217,3
0.80824731353875,61,100,155.70508963453906,1.2501929660316493,202.06182838468752,1.1182415577405749,3
0.4546334163983939,70,114,96.35066010991389,0.34906912096110987,113.65835409959847,0.5908487842439302,0
0.4532552330019329,63,119,96.12858602348994,0.36633040832784675,113.31380825048322,0.6053725228350932,0
0.39716527688457304,85,120,89.68230318800153,0.3501132105755095,99.29131922114325,0.5917036750434318,0
0.2863190236830343,97,124,74.61985287259625,0.1425034957458509,71.57975592075857,0.3775030769509451,0
0.2878577307949908,90,134,74.75281648538999,0.16109270661107872,71.9644326987477,0.4013945579643515,0
0.24211200926171927,103,137,69.90201772989104,0.09873452465316465,60.528002315429816,0.3142594062003917,0
0.25732657970128436,112,148,78.14690223211343,0.11456401101155234,64.33164492532109,0.33850774263320993,0
0.25665991994313736,106,146,77.82675653111103,0.114896231492737,64.16497998578434,0.338965330025047,0
0.2508719182019766,92,148,74.91578706087766,0.10820497790384516,62.71797955049414,0.3289503782399151,0
0.2341015401897846,86,148,66.24686045852515,0.09405943452740698,58.52538504744615,0.30669284259025226,0
0.18996210435490277,102,156,56.814385704013205,0.060514940128045494,47.490526088725694,0.24599942713508538,0
0.20418177079058913,102,137,57.74728017551362,0.06849859616663093,51.04544269764728,0.2617534009976844,0
0.20230600882990726,82,143,55.802080074748,0.07075543630865383,50.576502207476814,0.266001754149275,0
0.20214596671071036,83,137,56.07888784864929,0.07276055526373852,50.53649167767759,0.2697418611900876,0
0.19504891152015671,92,139,57.09915749520596,0.06319599814243797,48.76222788003918,0.2514020888800607,0
0.20317060908021603,101,141,58.273493323366175,0.07313107278609948,50.792652270054006,0.27043606059591385,0
0.20872722369060925,86,140,56.37778322044662,0.07519564238391331,52.181805922652316,0.2742517150831932,0
0.19556235571950775,108,137,58.339209402467404,0.06341976766760724,48.89058892987694,0.2518406659706375,0
0.1986816410245707,105,145,63.689474512619604,0.06599099245600112,49.670410256142674,0.25691791704407285,0
0.2069890259120875,96,135,59.08618245579174,0.06707697995708647,51.747256478021875,0.25905541923184605,0
0.22166559700258495,94,138,59.89776482450465,0.08005342255413764,55.416399250646236,0.2829464458589819,0
0.42498838718095955,54,118,79.82183985888584,0.3979053099992242,106.24709679523988,0.630966792780982,0
1.3874793160301733,55,97,261.61834462913043,3.404691217893174,346.86982900754333,1.8453868504715008,3
3.095665137264499,73,99,648.6720262343315,17.90078877342973,773.9162843161248,4.231425251050478,3
4.015620304178351,59,98,770.1771687267338,26.171961656841113,1003.9050760445878,5.115863920291023,3
3.337985725253461,68,101,693.7952770484371,18.121105434337633,834.4964313133653,4.258529642709013,3
3.3210986221372094,66,93,739.2641191350248,17.959247542448743,830.2746555343024,4.23787086866984,3
2.2943034424546416,74,103,518.4385467741171,9.63807705315117,573.5758606136604,3.1046200983483323,3
2.7534930853113906,63,95,540.103127384381,12.356363815810612,688.3732713278476,3.5151652854218023,3
2.727187872379969,49,97,496.9667212869411,11.141395318795663,681.7969680949923,3.3382290862271655,3
2.117582094043849,61,114,411.6908053270773,6.628397427257879,529.3955235109622,2.574567635427612,3
1.93173651515981,71,102,401.739136463629,5.973584554160209,482.9341287899525,2.444093879205771,3
1.6513752265098465,76,111,358.11388806015634,4.3893566830190816,412.8438066274616,2.0951342636550963,3
1.7269576665226403,57,96,327.8059657886089,4.902139386653249,431.73941663066006,2.214149596508345,3
1.7520627671506719,70,99,354.78207959372344,4.978094834896967,438.01569178766795,2.231221144908232,3
1.7044473694823217,73,112,351.3316243523505,5.312188062773081,426.1118423705804,2.304858157148235,3
1.4782118779675777,75,104,305.16814600473333,3.4392744235487855,369.55296949189443,1.8545390349812423,3
1.7520919181949206,70,101,357.5383710270309,5.1766941111650295,438.0229795487302,2.2752673429520724,3
1.7980249416733167,64,90,368.1227247953147,5.366094105635329,449.5062354183292,2.316493607359031,3
1.706185691996977,72,104,347.8042985093946,4.795131975083637,426.5464229992442,2.1898111131522366,3
1.6162506792510336,64,101,317.39537114539974,4.825093097147101,404.06266981275843,2.196734686009908,3
1.6292021391486737,56,93,305.3867491189538,4.383234743504368,407.30053478716843,2.0940354389954896,3
1.56392227458164,60,94,310.3510790627315,4.005707904035029,390.98056864540996,2.001729762662642,3
