MAV_1,ZC_1,SSC_1,WL_1,VAR_1,IEMG_1,RMS_1,MAV_2,ZC_2,SSC_2,WL_2,VAR_2,IEMG_2,RMS_2,MAV_3,ZC_3,SSC_3,WL_3,VAR_3,IEMG_3,RMS_3,MAV_4,ZC_4,SSC_4,WL_4,VAR_4,IEMG_4,RMS_4,MAV_5,ZC_5,SSC_5,WL_5,VAR_5,IEMG_5,RMS_5,MAV_6,ZC_6,SSC_6,WL_6,VAR_6,IEMG_6,RMS_6,Label
4.971954035185978,95,155,1557.4678059353105,59.985952913128784,1242.9885087964944,7.745642531897763,7.774513303602451,64,166,2014.3087568327392,102.32848900762083,1943.628325900613,10.116087282967465,3.215810248907597,88,153,1008.3716241259796,24.60941247379944,803.9525622268992,4.962205177922125,5.4852743892977145,81,150,1507.639959251527,54.56412188126616,1371.3185973244285,7.392488895251509,6.74337245318857,66,137,1496.5404087447278,105.47836819830603,1685.8431132971425,10.270359959762365,10.282182781196253,64,121,1946.8684652997254,167.1130094926342,2570.5456952990635,12.928119652064538,0
6.558573789427015,80,144,1826.7754719305776,85.72533425121931,1639.6434473567538,9.268380902911831,7.115612590491823,74,134,1745.7207869513234,93.6367449440334,1778.9031476229557,9.676617367272824,3.6648257180658237,105,161,1232.451763674091,30.980180571009356,916.206429516456,5.56604292515845,6.11336220831965,80,160,1551.6664041785543,80.75638755953803,1528.3405520799124,8.999207398819262,7.713501826883994,74,130,1817.4626355030466,137.8856905017471,1928.3754567209985,11.74596000234818,9.483663914032162,64,130,1852.6716421438896,146.7130883188355,2370.9159785080406,12.117511070119445,0
4.992477960582582,96,146,1486.5046771306118,53.07109293396841,1248.1194901456456,7.286866576913199,7.475067738914338,62,143,1658.3722981353276,94.62558265520194,1868.7669347285844,9.727628295952274,3.5360874520122314,86,156,974.6879118168638,24.004896584348746,884.0218630030579,4.89951958953017,5.503969945788522,84,144,1569.7007718442528,68.61539158181718,1375.9924864471304,8.28347838877877,6.806998444905689,71,128,1528.8435038789053,98.9412702305425,1701.7496112264223,9.954487802438615,10.262041647607337,58,118,2153.5783376155323,183.2843410592026,2565.5104119018342,13.53951625937947,0
5.676282067322258,107,153,1929.0700151206136,78.98351823890357,1419.0705168305644,8.887278376485114,8.148346265677374,70,145,2013.5700635618268,114.1705205647364,2037.0865664193432,10.685357465666392,3.639555857835314,99,169,1198.8566545936255,27.562626240277528,909.8889644588285,5.252700529858255,4.9382475477241,81,155,1447.9161184515187,46.97034318748704,1234.5618869310251,6.856862172868378,6.337637248647077,72,132,1347.8399584524273,91.38566423575563,1584.4093121617693,9.559617453028022,11.278854528533074,52,116,2163.7564020701748,205.99874226596623,2819.7136321332687,14.361996017712668,0
5.3501803638582635,92,164,1671.957903622464,61.56533243315141,1337.5450909645658,7.8473851549700635,7.069248914151789,70,144,1829.3465224769673,88.36139649482254,1767.3122285379472,9.400268072823188,4.1110378405220835,112,163,1371.6417197399355,38.19853986305637,1027.759460130521,6.181642777629969,6.199199838875693,93,156,1911.862789497526,82.05788553569157,1549.7999597189232,9.064702900731874,7.521763903840461,73,120,1616.7739630924048,125.29381670739734,1880.4409759601153,11.200388135215594,10.195526280582925,76,131,2278.377967802645,181.9667772152644,2548.881570145731,13.489532933702748,0
6.657258897738918,99,150,2097.3080807260612,90.47879809469734,1664.3147244347297,9.518163260155896,6.017240416393287,68,161,1644.4034175320878,84.74471771887431,1504.3101040983217,9.206753016587184,3.9751501910878644,98,179,1409.7280382489434,38.02350077685726,993.787547771966,6.1669687306142285,4.915627890173239,95,156,1521.9110572827967,55.806206975398446,1228.9069725433096,7.472263500965372,6.882516010868686,76,128,1511.9107489419594,110.2620031956076,1720.6290027171715,10.500646418924575,9.41842076645212,60,113,1932.37796526104,158.01735905246431,2354.60519161303,12.57273491149901,0
8.163742272738277,83,129,2001.2703972130375,134.38599130168495,2040.9355681845693,11.59300456079822,6.775120140452008,60,157,1746.61228200523,82.86562881222058,1693.780035113002,9.103063203513187,3.504580530294881,91,167,1206.404577488016,33.867021087076466,876.1451325737203,5.820773613493569,4.526817490661223,88,151,1326.7702734992758,50.93528005974469,1131.7043726653058,7.1379313379591505,7.9532352590023585,72,124,1730.8851243465192,168.219177059455,1988.3088147505896,12.973543814742458,9.86358617827847,64,125,1994.4213795188043,151.35635344315645,2465.8965445696176,12.303462181793375,0
5.870767899333174,85,146,1648.281399875148,73.6404028115389,1467.6919748332934,8.585113616054757,7.492947552448879,66,142,1798.8803414081824,100.40795343030021,1873.2368881122197,10.027077633338205,4.000984601933538,105,167,1333.8254779883691,36.68508804506133,1000.2461504833847,6.057973006189308,5.421979429858306,86,155,1709.5663898757143,61.004998997157564,1355.4948574645764,7.811602318438846,9.216206969781862,54,122,1672.9001857925662,169.08744946629528,2304.0517424454656,13.00871027961993,8.708966740235246,66,139,1977.196218942337,130.29260239042466,2177.2416850588115,11.414938349616484,0
6.217392589718951,79,144,1693.3441013331178,87.24981157376325,1554.3481474297378,9.346647051750539,6.4663151148465,69,148,1512.8601413841898,66.14833179939495,1616.578778711625,8.135787944177027,3.365442624387065,91,165,1127.0306495500868,26.95534421571792,841.3606560967662,5.1918661366464445,5.1401278268347035,91,155,1593.1375699473401,55.865723244784164,1285.0319567086758,7.475300569019403,7.118003347277738,68,138,1606.8711494154068,113.07919981818475,1779.5008368194344,10.63472925858852,10.285699085447794,66,130,2271.8924996065625,177.99279806184515,2571.4247713619484,13.341490052841918,0
4.365458108678674,76,143,1218.6508247907955,43.890966032040055,1091.3645271696687,6.628951119165306,6.855213115431537,63,149,1660.3086868154364,76.65048780892997,1713.8032788578844,8.76101528808699,3.971122525591125,95,162,1262.4209016315458,35.02791947523789,992.7806313977812,5.919815029553576,5.226298062992873,87,156,1550.9288837149877,58.0593904956746,1306.5745157482183,7.631919363012481,6.935762071296076,74,127,1478.1627654062563,104.15680008558772,1733.940517824019,10.206370780647575,7.369096247377213,77,144,1835.9448296016044,102.07188337365052,1842.274061844303,10.106047432277501,0
4.56421459613787,81,139,1295.2158268745975,46.935511224820125,1141.0536490344675,6.852774590415615,6.381051910672103,61,148,1490.329425403765,67.51488760010585,1595.2629776680258,8.21856779529753,4.220613054306565,114,164,1355.449606890421,44.24431908372667,1055.1532635766412,6.653922026127861,5.445294911304002,70,150,1601.3189736117802,68.06211661715511,1361.3237278260003,8.252639260956718,5.885850222269121,73,138,1291.8966408184247,71.23802230469742,1471.4625555672803,8.44416843825131,8.520814957571242,54,127,1687.1803327343575,130.61792516394257,2130.2037393928103,11.42918744963071,0
4.7365544760065035,75,151,1440.1703725687075,47.50298095787885,1184.1386190016258,6.892595550536678,7.419285438771915,76,152,2032.435098237423,98.26783630615739,1854.8213596929788,9.913353976225414,3.6917932548621626,84,149,1077.0160993479108,30.93185207000407,922.9483137155406,5.56677067143327,5.5104075538600865,92,168,1713.0954738689047,59.50808325570668,1377.6018884650216,7.7229182999678505,6.944634231367128,67,130,1459.7097076885666,113.94490393335631,1736.1585578417819,10.683847253699735,7.790020083748403,55,129,1571.6047022236573,103.24753007427331,1947.5050209371007,10.163939158530663,0
4.910231018162348,78,147,1264.8746714711613,56.04092957215827,1227.557754540587,7.502512576339681,6.289675501448716,68,142,1502.5756448823568,76.48397154626099,1572.418875362179,8.746495602931512,3.9085073767171505,99,174,1343.0776729105346,35.465466778062115,977.1268441792877,5.955464661451198,5.833582331413672,81,158,1776.785955678092,73.16286449138661,1458.395582853418,8.559483703764553,7.663015557855248,70,124,1548.213316388356,139.4302118627148,1915.753889463812,11.832017031725696,7.7407144059364,66,121,1574.908157670181,106.46006912196944,1935.1786014841,10.32386601410184,0
5.09435803624991,86,132,1363.4418900746641,59.94501067519345,1273.5895090624776,7.74441532496903,6.899805886074124,75,148,1675.1942562891827,86.0245561882684,1724.951471518531,9.274971811100253,3.6610960564645327,89,161,1142.6761204807742,29.880280518755878,915.2740141161332,5.466589775698588,5.374239529033893,97,156,1602.772229648925,68.70980827711371,1343.5598822584734,8.291196410910205,7.351757993320104,64,119,1578.5626728902112,139.77456432198278,1837.9394983300258,11.82287348310467,9.248020861175286,60,135,1958.345215066214,150.16027456132375,2312.0052152938215,12.25429079206435,0
5.440323245211731,73,133,1405.292637675122,55.28861789940501,1360.0808113029327,7.4391731184865515,6.2442198836383564,66,152,1519.293630215648,61.967613962698934,1561.0549709095892,7.875870995031427,3.5337220725501695,86,163,1183.8410792488871,27.092899160271983,883.4305181375423,5.205270140223164,5.773931215003828,81,147,1689.479918210056,68.9232804044541,1443.4828037509571,8.303432082136071,6.572929956395563,66,142,1480.486318451837,95.2563984454865,1643.2324890988907,9.760166291748373,9.182758930400665,69,138,2162.04054210688,139.75778284008925,2295.6897326001663,11.824650456269962,0
6.509431664461241,68,122,1391.3127876250178,87.93413226142874,1627.3579161153102,9.378966771590845,7.2658322031548686,68,149,1871.0845483392927,93.37387452924685,1816.4580507887172,9.663701493708045,4.3495755242295475,87,154,1226.9449474545318,43.491838870228364,1087.3938810573868,6.609261869714433,6.310938669053884,90,143,1600.8653656403228,78.12883815761846,1577.7346672634708,8.839062042156986,6.923749831461823,71,143,1541.6213908992077,104.4745363699862,1730.9374578654558,10.226470808131632,9.556869810660508,58,122,1847.714222362916,149.77817765820157,2389.217452665127,12.253852687006512,0
4.614295837137621,77,129,1105.5897588705502,40.80784385222474,1153.5739592844052,6.389142053195734,6.764832537842214,70,146,1868.5340093670795,90.56083927881946,1691.2081344605533,9.51661073958891,3.1305815174228555,106,163,1085.3570784868834,23.647779121576775,782.6453793557139,4.863554419118859,6.67843473278137,107,165,2075.8805641610643,105.48009445842544,1669.6086831953426,10.278905505578305,6.426543317436306,79,131,1519.713452521843,100.35115437035039,1606.6358293590765,10.020867863185863,9.02719406126115,70,124,1805.9402191007262,150.56168739669914,2256.7985153152877,12.271008987772827,0
4.642651770399025,63,139,1238.7647980366514,42.890919319687605,1160.6629425997564,6.557973291020893,6.9981995097601395,78,157,1855.5831680389738,86.74049932805718,1749.5498774400348,9.31426104642019,3.8213814892735383,103,168,1328.5150354965124,39.75285539778191,955.3453723183845,6.306251525545308,4.429869462318574,73,155,1226.087490610919,37.13459000603912,1107.4673655796435,6.094854209058808,6.416315615924774,73,133,1517.815857951899,94.88112777208477,1604.0789039811937,9.74070038243439,8.035515536246496,59,130,1688.108569794536,106.07832058395081,2008.878884061624,10.302152388263414,0
3.65209208734655,70,133,796.3043570076892,24.44650265430541,913.0230218366376,4.944671479580132,6.310689214682294,67,152,1524.1315897952686,70.9866463979576,1577.6723036705735,8.425434068801644,4.051586306592894,98,165,1319.5071453199255,42.12483360219073,1012.8965766482235,6.493288292529574,4.805791828148014,98,149,1436.8944029577756,46.01274242569929,1201.4479570370036,6.783613524715897,6.57504376353931,74,135,1539.4744950219874,98.43882423115642,1643.7609408848275,9.923513019988995,8.579543831631092,59,136,1892.1678390169784,122.939061584531,2144.885957907773,11.087789623044442,0
3.2130499669021355,68,146,711.1378893663996,15.204751665190267,803.2624917255339,3.899500509685221,5.934731825888949,65,152,1437.0463567677634,70.2867227425396,1483.6829564722373,8.383859300198315,3.9139743841128882,98,152,1197.0649968676712,36.80602449181896,978.4935960282221,6.067753931689081,5.099898141805001,91,154,1375.1426171540697,51.382294133058245,1274.9745354512502,7.178215352643037,6.01091949371112,73,123,1310.497785630364,83.70199459985791,1502.7298734277801,9.150452915963234,8.689322923546076,62,133,1670.6975930314204,129.79950553615626,2172.330730886519,11.393010431787408,0
3.472877651275808,74,133,788.5939143069756,22.184231913246432,868.219412818952,4.710015571021349,6.211633948569763,71,155,1530.4833124217935,74.4591607342135,1552.908487142441,8.629986038954296,3.908305830310136,95,150,1221.7534973366091,34.13539225203424,977.076457577534,5.843681275595607,4.735346351290493,71,143,1343.6368166894222,48.96830592469799,1183.8365878226234,6.998602445876346,5.831253847567292,71,141,1439.3716857406853,84.4386838939671,1457.813461891823,9.189757175189204,8.07128802054087,59,116,1543.932425100229,109.16463440974493,2017.8220051352173,10.452341783553491,0
3.596033557891599,78,143,889.8836162117934,24.543109197277385,899.0083894728997,4.9550075411910575,6.728100099282346,59,152,1760.1891808886603,89.26032285307716,1682.0250248205866,9.448891438561995,3.2175957651932356,94,159,1098.783438809058,24.382763676048057,804.398941298309,4.938185265824654,4.570284961212107,108,158,1432.4562382998374,44.04340381117441,1142.5712403030268,6.637359291177881,6.443446294520376,70,124,1484.4709436487005,90.30498606950962,1610.861573630094,9.504393093352641,7.063071052932011,78,144,1750.7771347691637,84.70096576797422,1765.7677632330026,9.20331359823486,0
3.8216820484447673,62,120,738.7994568850618,25.17525398370489,955.4205121111918,5.017999545239402,6.468736041490593,69,155,1666.891120600047,81.85475946597751,1617.1840103726483,9.047988574452988,3.9099401140357712,96,159,1306.9949643879818,34.31651957871685,977.4850285089428,5.859296020762733,4.485874079583467,86,165,1374.6962858306076,39.23575273383544,1121.4685198958666,6.264316092276909,6.330315537646019,70,132,1502.5547377306407,87.48788934286081,1582.5788844115048,9.355428575981403,8.772078905359889,58,125,1760.8119576944428,131.1578657253389,2193.0197263399723,11.45616633159878,0
5.502477787835909,65,115,1120.0774190528819,56.40703088717819,1375.6194469589773,7.519163919667926,6.3076181832308365,62,145,1410.7021671171424,73.01146375171291,1576.9045458077092,8.56611984418634,3.465121145389977,111,158,1133.2107643511945,29.92424754939883,866.2802863474942,5.473748035398313,5.470257957584984,99,147,1817.691802552422,68.6166312881662,1367.564489396246,8.28355203167811,6.034380250904425,75,136,1413.495206527513,78.85242677332603,1508.595062726106,8.886499950404048,8.678959142244059,77,127,2123.9662762412404,138.79960024655244,2169.7397855610147,11.781509324750822,0
9.751624238055236,62,130,2000.457606601999,203.95688143612952,2437.906059513809,14.341282601581119,6.363200056399901,75,146,1616.9433281388433,79.37312118988294,1590.8000140999752,8.910071668740763,3.5500712042933817,104,160,1213.4388868513333,31.839951426149646,887.5178010733455,5.644538094474821,4.4187413924173455,92,145,1273.9744423266566,41.34959339880149,1104.6853481043363,6.43044512848118,7.461364897025496,75,130,1607.87324565247,120.19246734869353,1865.341224256374,10.968320084864228,8.288479262205863,82,136,2035.8605408010362,120.70070308759469,2072.1198155514658,10.986879755261283,0
16.83300100159611,63,114,3647.1181023663075,622.8355392177159,4208.250250399027,24.970616037693567,6.431881589382457,78,152,1721.3749562168477,77.99001651577063,1607.9703973456144,8.846708492700609,4.073354746330359,97,155,1310.5781134312751,34.359321017826,1018.33868658259,5.863529425028284,5.3466854911017085,76,152,1537.7926000330754,57.35529895580902,1336.6713727754272,7.57333970322299,7.568358115389938,79,131,1744.1201487569333,127.5986579228626,1892.0895288474846,11.296543759935572,9.795351253422515,69,122,2234.9159762302834,158.25078791370203,2448.837813355629,12.581365385648235,0
25.385573608589784,72,108,5386.915769609601,1125.7012909212076,6346.393402147446,33.57262214935162,7.759920844298683,64,137,1851.258866103181,107.70213538786008,1939.9802110746707,10.420395477110418,5.530289312782228,81,144,1495.5458784486298,63.19916682619686,1382.572328195557,7.949797055976878,11.363994684075934,58,122,2143.378407738299,304.93508559276313,2840.9986710189833,17.480403064669314,7.84178975654209,76,134,1772.9973618585564,115.29345084744823,1960.4474391355225,10.7377826043394,25.911898301092297,51,91,3809.207036922809,1346.2222153486302,6477.974575273074,36.70877533643114,0
66.34397318826504,77,113,15326.493743113224,8875.73650209018,16585.99329706626,94.21343401536858,17.679415096460698,70,115,3926.085199987914,738.4766752486505,4419.853774115174,27.179833487408125,14.890962177543093,65,99,2986.3529091382225,410.0247327786915,3722.7405443857733,20.271908540250685,19.55806150765843,73,113,4093.1551920303555,743.3446292775449,4889.515376914607,27.2649937866714,14.255850206794268,76,108,3048.054876720417,366.80499328229706,3563.962551698567,19.155485029451732,41.15090663671077,54,101,6727.995373731215,3021.335562592884,10287.726659177693,54.99780518516307,2
74.32864953594054,68,121,16406.196331954583,9692.684048352176,18582.162383985135,98.55821194665663,28.019887183173044,79,116,6688.120620799885,1747.8932556846876,7004.971795793261,41.84591554123172,15.320581440032564,72,115,3180.756744451834,493.2225277048535,3830.145360008141,22.208703605368147,27.03945635131893,73,115,5596.957635501854,1207.6515650650656,6759.864087829732,34.752503108813556,15.024209852277252,66,107,3304.062851882356,351.62524161769,3756.052463069313,18.751793534876146,53.531715985001746,59,97,9454.446812131431,5591.026734234705,13382.928996250437,74.85550663342335,2
83.1234549247323,71,96,18389.29602810667,12063.645063575854,20780.863731183075,109.83497020090921,28.954131772233204,66,110,6696.790443042809,1951.141461094179,7238.532943058301,44.171766643219534,18.101775041996735,76,116,3556.245556067939,719.7651980388143,4525.443760499184,26.835566007683926,31.346885540565676,61,115,6155.263352055874,1771.771327373549,7836.721385141419,42.09820033774321,12.704204523118083,86,121,3005.8686190858293,257.38957517646224,3176.051130779521,16.04488108763324,46.0589705934378,58,95,8664.077679276088,3347.6492093019774,11514.74264835945,57.863805680152296,2
80.84662996101642,84,100,18401.58529314517,12508.172628279593,20211.657490254103,111.84428540706955,35.23480274721672,70,108,8373.812979185588,2575.3964380693537,8808.700686804179,50.7596982807122,19.145276761310377,53,100,3383.657122872336,700.4449800280362,4786.319190327595,26.482721136350214,27.823102239692258,72,112,6235.210713486047,1334.307849123471,6955.775559923064,36.54012692059692,13.129573801146412,78,108,2948.606053633731,279.4154343796817,3282.393450286603,16.7158562684219,39.72885691451971,58,89,7114.694226813444,2782.141827302771,9932.214228629928,52.750108745069504,2
61.09420713199641,84,108,14338.498401885445,6709.817635899466,15273.551782999104,81.91382719739791,35.569522557565875,59,102,8009.460080534191,2554.37597061867,8892.38063939147,50.54205729008371,16.567935860639146,65,110,3181.133381583759,683.7047106675211,4141.983965159787,26.151251715350597,31.52672540144794,56,103,6321.320790575175,1669.9376061271398,7881.681350361985,40.89824937588248,10.823826244949835,67,114,2315.5259675159705,189.09191794810454,2705.9565612374586,13.76742646936209,48.791153982509755,60,91,8567.641648360306,3938.217075690452,12197.78849562744,62.814272284447796,2
66.13093866168056,74,109,14693.271772016891,7458.310941274837,16532.73466542014,86.36215760396351,38.241848980549904,63,104,8749.798722037754,3276.567187589762,9560.462245137476,57.271877770578165,16.292712335817292,72,109,3278.0025655663594,593.3718803728586,4073.178083954323,24.359227484998254,33.87579836954459,55,108,6387.703789486366,1987.5896232013383,8468.949592386147,44.616763381754794,13.545726946995277,64,118,2727.0874372915496,314.67648451445484,3386.4317367488193,17.73928221425896,51.38095552690359,54,91,8757.52992681739,4219.251065720782,12845.238881725898,64.95684827218848,2
59.32921973123123,76,108,14691.18094473589,6615.48389826,14832.304932807807,81.37163405092001,37.72753013877997,75,112,8481.52009382338,3170.0786693536584,9431.882534694993,56.30401814542832,14.733070804468596,69,114,3129.162004401646,508.38983692117654,3683.267701117149,22.548159481733958,32.88787954042824,65,112,6781.815598040178,1829.6086458859818,8221.969885107059,42.77930119291541,9.98448392548629,65,103,2073.663479925183,160.29737134702077,2496.1209813715723,12.679770343999444,60.33486908197821,57,82,9904.478221658082,6159.016834549808,15083.717270494553,78.51086253910064,2
51.080405635146455,70,103,11050.175630214468,4793.423563129624,12770.101408786613,69.383773848278,28.33147996334243,70,123,6982.722248622674,1780.487879111152,7082.8699908356075,42.19802176050001,13.024771928024519,69,120,2684.1061643774333,428.1673704239452,3256.1929820061296,20.69925838371887,30.88530151443174,63,112,6555.452901061446,1701.2316625205247,7721.325378607936,41.246651750429116,11.640913953095557,76,110,2344.4636545305398,221.38045978184712,2910.2284882738895,14.882250248403166,53.13209448072423,53,97,9218.477852777805,4844.182545394223,13283.023620181057,69.60025576636717,2
