mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.6372682571411132,0.11865945856481505,0.07231554985046387,0.014542532188790367,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9453781512605042,0.9411764705882353,0.9390756302521008,0.9485294117647058,0.9390756302521008,0.930672268907563,0.9464285714285714,0.9338235294117647,0.9432773109243697,0.9327731092436975,0.9400210084033613,0.005781129372192002,28
7.230474328994751,0.4386409402684203,0.551122784614563,0.056609893139181744,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9464285714285714,0.9558823529411765,0.9495798319327731,0.9684873949579832,0.9548319327731093,0.9474789915966386,0.9537815126050421,0.9600840336134454,0.9506302521008403,0.9506302521008403,0.953781512605042,0.006267409197553087,7
1.5574494123458862,0.16373771042396046,0.08101799488067626,0.023921186040524168,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9453781512605042,0.9411764705882353,0.9390756302521008,0.9485294117647058,0.9390756302521008,0.930672268907563,0.9464285714285714,0.9338235294117647,0.9432773109243697,0.9327731092436975,0.9400210084033613,0.005781129372192002,28
2.4512076139450074,0.41223709058476843,0.3733834266662598,0.1737302908113602,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9527310924369747,0.9537815126050421,0.9432773109243697,0.9621848739495799,0.944327731092437,0.944327731092437,0.9590336134453782,0.9474789915966386,0.9453781512605042,0.9369747899159664,0.9489495798319327,0.007400804602440578,21
1.7103858709335327,0.25757741145539176,0.07541649341583252,0.014245480328712316,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.9453781512605042,0.9411764705882353,0.9390756302521008,0.9485294117647058,0.9390756302521008,0.930672268907563,0.9464285714285714,0.9338235294117647,0.9432773109243697,0.9327731092436975,0.9400210084033613,0.005781129372192002,28
2.9510666370391845,0.28858933230295525,0.4873095989227295,0.05466238113592159,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9149159663865546,0.9222689075630253,0.917016806722689,0.9369747899159664,0.9149159663865546,0.9128151260504201,0.9191176470588235,0.9180672268907563,0.9096638655462185,0.9128151260504201,0.9178571428571429,0.007228844762220705,35
1.6265653610229491,0.16362409248274384,0.0843184232711792,0.02263719167277713,1,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9453781512605042,0.9411764705882353,0.9390756302521008,0.9485294117647058,0.9390756302521008,0.930672268907563,0.9464285714285714,0.9338235294117647,0.9432773109243697,0.9327731092436975,0.9400210084033613,0.005781129372192002,28
5.880120325088501,0.22300010215369206,0.737164568901062,0.10833750241082787,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.875,0.8771008403361344,0.8665966386554622,0.8855042016806722,0.8560924369747899,0.8665966386554622,0.8634453781512605,0.8707983193277311,0.8665966386554622,0.8718487394957983,0.8699579831932773,0.007687468261988222,38
1.4147178888320924,0.2063294959015696,0.06941547393798828,0.011946389695924,1,0.0001,linear,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.9453781512605042,0.9411764705882353,0.9390756302521008,0.9485294117647058,0.9390756302521008,0.930672268907563,0.9464285714285714,0.9338235294117647,0.9432773109243697,0.9327731092436975,0.9400210084033613,0.005781129372192002,28
10.585183000564575,0.5069636453185355,1.1631153106689454,0.19295150402782738,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7510504201680672,0.7678571428571429,0.7510504201680672,0.7573529411764706,0.7384453781512605,0.7426470588235294,0.7563025210084033,0.7584033613445378,0.7426470588235294,0.7521008403361344,0.7517857142857143,0.0083645374166464,40
2.6876566648483275,0.25089336627188785,0.06701595783233642,0.01201036878399104,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9516806722689075,0.9516806722689075,0.9422268907563025,0.957983193277311,0.9474789915966386,0.9369747899159664,0.9569327731092437,0.9411764705882353,0.9474789915966386,0.9411764705882353,0.9474789915966386,0.006725970837639555,22
7.058283972740173,0.4001556597848331,0.5531238555908203,0.04178753668735688,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9527310924369747,0.9548319327731093,0.944327731092437,0.9663865546218487,0.9516806722689075,0.9506302521008403,0.9569327731092437,0.9611344537815126,0.9506302521008403,0.9548319327731093,0.9544117647058823,0.005795426144594023,6
2.8449382305145265,0.3406937771794507,0.07221627235412598,0.019640799107803867,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9516806722689075,0.9516806722689075,0.9422268907563025,0.957983193277311,0.9474789915966386,0.9369747899159664,0.9569327731092437,0.9411764705882353,0.9474789915966386,0.9411764705882353,0.9474789915966386,0.006725970837639555,22
1.5937575817108154,0.1828089487172213,0.20804595947265625,0.023256385331368624,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9663865546218487,0.9653361344537815,0.9537815126050421,0.9747899159663865,0.9558823529411765,0.9569327731092437,0.9642857142857143,0.9653361344537815,0.9527310924369747,0.9495798319327731,0.9605042016806724,0.007474977678427395,2
