MAV,ZC,SSC,WL,VAR,IEMG,RMS,Label
3.9637619416627543,68,112,788.6867507838422,26.897807049847067,990.9404854156886,5.186607478735001,0
3.3418312392498635,77,126,733.9867806817617,19.34180903244405,835.4578098124658,4.39809434731287,0
3.3170285895418883,59,116,628.0448454184648,17.014104967505812,829.2571473854721,4.125622955997349,0
4.771767853925241,41,112,672.2785483904689,34.21255397576108,1192.9419634813103,5.849911979105913,0
4.542108033674562,52,125,740.6066981304203,31.55356561785057,1135.5270084186404,5.617999223500266,0
3.4331368612636757,69,133,743.1892715860695,18.736123928328436,858.2842153159189,4.328674023835694,0
3.8024524952083003,64,128,773.7388863253351,22.986456650030412,950.613123802075,4.794576371381244,0
3.5691305754815734,73,116,771.5013402094788,20.394090514978995,892.2826438703934,4.516311156182549,0
4.039883499995663,64,119,838.9483577842544,26.45174308690663,1009.9708749989159,5.14336332017841,0
3.8208433415641796,78,127,808.6183706142567,23.40964182514953,955.210835391045,4.841540674948658,0
4.031205383811754,67,116,813.3897695172329,24.794983582917578,1007.8013459529384,4.979690869997136,0
3.76913930552014,74,123,836.9197795602499,23.073865940058873,942.2848263800349,4.806639633267462,0
3.4374235261536947,74,126,839.1010466906978,19.62712673889723,859.3558815384237,4.43025252942206,0
3.840923625106108,67,133,834.4083799507516,21.38430092051874,960.230906276527,4.624323075450187,0
3.4675455397362267,78,133,845.3308938324627,18.847725243398486,866.8863849340567,4.341539402938508,0
3.584461983641482,73,130,859.8449112456595,21.051383185264175,896.1154959103706,4.588204112386309,0
3.5207384490437144,77,132,884.3260110389092,19.976895494055313,880.1846122609286,4.4703549242113,0
3.5831422508014086,66,118,785.3915771249751,19.930051886947115,895.7855627003521,4.46486800582824,0
3.9367515543522766,70,114,854.9908002227238,25.166273341078437,984.1878885880692,5.016742063521343,0
3.420880711159673,81,132,746.294635402148,19.63416867094894,855.2201777899182,4.4315306523996965,0
3.5008949881691804,73,125,751.9461482546245,19.26567908400547,875.2237470422951,4.389559955412951,0
4.122511039386151,56,111,776.3241650062881,27.494595325809904,1030.6277598465376,5.245146870097863,0
3.851035613616862,70,126,820.1001855418072,24.00560649862383,962.7589034042155,4.900104965315562,0
3.4907425082680974,70,131,770.460035990262,19.923100548941278,872.6856270670244,4.463576019455751,0
3.7382184815826798,65,118,775.8521855130427,20.782904527402764,934.55462039567,4.5592007565582975,0
3.7737607053192983,69,135,830.9085089241883,22.486342742794328,943.4401763298246,4.7442459043312795,0
3.6570573703232614,61,124,740.5880233063424,21.89097624110184,914.2643425808153,4.678812167497744,0
4.011592082331871,63,121,780.1447086170249,25.949473041210695,1002.8980205829678,5.095474870309854,0
3.6866377005532147,67,130,744.8482118214761,22.174473486968402,921.6594251383037,4.709144995823926,0
3.7711457669676447,71,123,808.9680575020797,22.876976456030008,942.7864417419112,4.783605738784645,0
4.08833336183962,69,123,922.5053231014807,26.777111910032072,1022.083340459905,5.175038956781501,0
5.119941727385925,81,125,1181.5775718850293,42.55524505176922,1279.985431846481,6.524077821032404,0
8.151335383764703,69,118,1898.5973027161,128.58348850746572,2037.833845941176,11.342038106152712,1
18.497288632350944,71,101,4176.686933022196,636.2575400126286,4624.322158087736,25.224459545435963,1
35.745420184002306,76,100,7989.7894414978455,2097.6752505234263,8936.355046000577,45.800801150355916,1
41.59854912682025,67,96,8687.955272862755,2783.6701734253984,10399.637281705063,52.76577638368942,1
43.0194420081869,70,110,9057.521898372228,3125.6118910026034,10754.860502046726,55.90741082263198,1
37.23521804265805,83,121,8927.59022039324,2297.884954023079,9308.804510664511,47.93646345157221,1
41.286356791423536,75,106,9109.195785004127,2856.065942275896,10321.589197855885,53.44264809880856,1
37.56207541001963,64,99,7730.160101500526,2499.6633391226205,9390.518852504907,49.997026837925354,1
36.24262963337997,79,115,8721.688948132869,2273.219609814871,9060.657408344992,47.682343949669956,1
34.28454095702055,74,101,8015.811804466973,1961.7267073508735,8571.135239255138,44.29182980246089,1
35.98861186868456,76,95,7979.495337901936,2280.4238243126365,8997.15296717114,47.75397316871308,1
33.311291659963594,74,101,7663.050552387596,1911.5027819901695,8327.822914990898,43.74292633924793,1
45.03613260178223,71,92,9286.910482964286,3330.1175326402304,11259.033150445557,57.70931456124308,1
37.797017397899545,68,106,8177.218201117141,2330.130193894471,9449.254349474886,48.27793672098961,1
49.620208389856536,68,87,10139.70326328278,3934.925263510469,12405.052097464135,62.729114762666185,1
36.76289825293582,74,101,8384.27036898374,2580.0686408773063,9190.724563233955,50.7944733057156,1
31.8442524764055,69,108,7293.226231126473,1771.7113407285651,7961.063119101375,42.09573683526997,1
30.115932655607633,75,103,7022.222509590644,1485.6017099641388,7528.9831639019085,38.55160704634491,1
28.028076790315428,71,106,6019.81345563885,1288.2934399328788,7007.019197578857,35.8929097032826,1
32.947898504995685,73,112,7692.68296960212,1736.3281834005297,8236.97462624892,41.67577189760198,1
37.036670738619776,65,97,7771.918478224322,2369.5921712937916,9259.167684654944,48.68103337794472,1
36.78604617724794,63,105,7799.831545178334,2462.9016554938253,9196.511544311985,49.62928067633973,1
17.712144444174985,77,111,4118.5496242656445,574.9390411147922,4428.036111043746,23.978157476919915,1
8.173896220948167,60,100,1617.4070086663069,117.25296002665435,2043.474055237042,10.828530647702111,1
6.895040051638185,67,102,1424.208749506739,75.57777891690242,1723.7600129095463,8.693630381010466,0
5.299189391305197,68,126,1211.7981652212457,46.67325519889808,1324.7973478262993,6.83183094843489,0
5.177426727557049,67,118,1151.4432165452563,46.379352781421964,1294.3566818892623,6.811450882961751,0
4.409669907852937,78,121,952.5621299634022,32.11176922356257,1102.4174769632343,5.666950870094602,0
3.9154260986020764,83,127,964.0427714096226,24.00080238438824,978.8565246505191,4.900305901734067,0
4.166696518495395,78,132,1000.4798181152767,26.96352064234516,1041.6741296238488,5.192641778301754,0
4.259282007473629,72,128,1003.462697204338,27.590867096891635,1064.820501868407,5.255114392470831,0
4.257110579132779,75,127,972.9063787060647,27.920963546588546,1064.2776447831948,5.284761134586518,0
4.819649654431654,61,130,960.3712169975406,36.34385938787676,1204.9124136079135,6.029257586189614,0
4.672310833854026,77,121,914.9685070864786,36.687899290829165,1168.0777084635065,6.057359299121532,0
4.251692329670144,65,117,792.8366173145532,28.842614650195845,1062.923082417536,5.370865285943879,0
4.069855555726592,69,122,814.6355993791161,25.472976475055,1017.4638889316482,5.047180883660903,0
3.836164556763797,68,124,822.7381023419466,22.613997484587216,959.0411391909493,4.755419004090761,0
4.292078734376196,73,127,869.7253798828332,29.77880990971991,1073.0196835940492,5.457981672517361,0
4.033481854523323,77,128,867.9102544374198,24.727646594742104,1008.3704636308307,4.9728753487525506,0
4.308551631627804,60,129,878.5099356635114,29.382034370247204,1077.1379079069509,5.42101251215219,0
3.3751850088039244,68,129,767.4191438758083,17.268759099541654,843.7962522009811,4.1557267858123765,0
3.683418077641612,70,131,808.237805530821,21.38201675789597,920.854519410403,4.624455035329063,0
4.029854196549544,62,127,826.1990293311954,24.597271132487755,1007.463549137386,4.959564424282415,0
3.861753962289778,65,127,857.1728479811118,22.55075675442062,965.4384905724445,4.7505497326572215,0
3.7846730991201953,65,115,786.0977587030967,21.948016837612826,946.1682747800488,4.686139989749897,0
3.7029521105617396,69,126,815.4279706082482,21.55178093836328,925.7380276404349,4.6423909824392755,0
3.9328177145457377,76,124,871.6133247882481,24.740652733098518,983.2044286364344,4.974047017067895,0
5.499890744775108,73,116,1170.0382015753544,47.400174557082465,1374.972686193777,6.884822053569426,0
10.067735945447392,67,103,2104.824214281128,169.21751963445257,2516.933986361848,13.008380486555271,1
19.42623632982617,73,102,4052.722866399334,572.6474184258431,4856.5590824565425,23.930231083107824,1
31.751969357793946,75,120,6968.969105187805,1569.8569367452544,7937.992339448487,39.62498268336772,1
48.25393943820741,74,104,10335.166600934772,3597.238690261982,12063.484859551852,59.9797143502839,1
45.46018147281249,78,96,10226.228958160003,3390.445149304793,11365.045368203122,58.23002689355395,1
49.458719067890605,71,107,10424.790262513598,3818.3896050730395,12364.679766972651,61.797604593798305,1
42.06463210174956,63,94,8546.215808670842,2810.921229533495,10516.15802543739,53.01817676989388,1
45.09038685358106,68,105,9523.321705330618,3435.54056868978,11272.596713395265,58.618687391261126,1
43.24473697817977,61,102,8834.699727523815,2927.826571267698,10811.184244544944,54.11069148835979,1
35.14621893155847,65,118,7704.495875155671,1998.6602069340079,8786.554732889617,44.71289627467757,1
26.9724622986411,67,115,5665.513641212156,1160.4572115296896,6743.115574660275,34.06556433179744,1
27.587352402358725,68,107,5990.680551070223,1244.4858311747541,6896.838100589681,35.282133742858065,1
42.33134997169757,68,104,8645.675296539812,2949.3545944668153,10582.837492924393,54.309464948087644,1
33.84755457417091,70,114,7267.560092611317,2008.4229639683767,8461.888643542727,44.81643231365534,1
28.16602728079247,67,104,5915.318128354871,1307.5838943193942,7041.506820198118,36.16377090908302,1
25.400011888720933,81,105,5760.954914271913,1044.6999554931235,6350.002972180233,32.324533863892086,1
20.70051503339591,73,112,4723.079830813473,704.3462971419816,5175.1287583489775,26.54553107086139,1
21.616561287751647,68,105,4677.416739719343,786.371757391448,5404.140321937912,28.044000652823687,1
20.91011189896037,70,109,4586.599783013037,735.8557116934986,5227.527974740093,27.12970982264316,1
19.98395788063053,67,118,4228.5154868200225,648.2755415872563,4995.989470157632,25.46322063880653,1
21.928268348559257,64,109,4398.5335144051905,749.8205791384911,5482.067087139814,27.383064284535628,1
26.786788046767775,60,95,5151.000779375188,1091.3163937928728,6696.697011691944,33.0355863388009,1
30.307555671090604,62,91,6060.168166183275,1559.6246499320973,7576.888917772651,39.492113252834784,1
28.829112509413243,70,105,6147.331387846565,1349.3607027880469,7207.278127353311,36.73682474234135,1
28.144532784474016,65,103,5676.0024006934755,1346.0676162306997,7036.133196118504,36.69375092621915,1
17.5661582670138,57,112,3707.9451631343763,567.5295066507654,4391.53956675345,23.825235933683313,1
7.1475480998603595,70,123,1484.960163233419,86.6652185419446,1786.88702496509,9.309466374752077,0
6.418437992606077,72,112,1292.20295681643,68.96955709787625,1604.6094981515193,8.305002628212424,0
7.201494009261389,57,108,1252.3983548250585,78.57081770863473,1800.3735023153474,8.864114091568284,0
5.093868108739975,64,132,1057.7282684240167,37.58053801170402,1273.4670271849936,6.133349614056447,0
5.123728255929338,68,120,1109.0176295789558,40.07609335012129,1280.9320639823345,6.330571747104639,0
4.1546104427439055,77,122,986.9262579645963,25.35848303470458,1038.6526106859765,5.035813847868082,0
4.051114789415872,83,126,961.8824024517181,25.530744941816526,1012.778697353968,5.052872221786568,0
4.6711994659357075,72,118,897.8570835756389,34.522827446400306,1167.799866483927,5.877661776386767,0
4.571869900094851,64,113,862.6154185112972,33.64402135362812,1142.9674750237127,5.800564266558868,0
4.123261867678963,65,123,831.7363370335177,27.67497471415302,1030.8154669197406,5.260912898081066,0
4.430307174096218,67,132,931.0967270185758,31.54488854300725,1107.5767935240547,5.616658990749533,0
3.6003922066371543,76,127,834.4370090234693,20.709125137595475,900.0980516592886,4.550756253232437,0
3.7479257962887083,66,127,817.1798371100431,23.948666268569475,936.981449072177,4.894187256274853,0
3.938767973494495,75,130,888.1587510393167,26.473220179299815,984.6919933736237,5.1452220702759055,0
3.203132244509128,80,128,749.1790592918896,17.671050434972198,800.783061127282,4.203840929241701,0
3.414672597996567,79,129,784.1035338824565,18.722393879628275,853.6681494991417,4.327756133688625,0
4.310794329917712,68,103,824.1266238487088,30.23606478619218,1077.698582479428,5.498802617327281,0
3.9840242923480607,61,124,774.1404686765311,24.997686596696873,996.0060730870151,5.000387486803555,0
3.8823690789991994,74,129,826.6275548440648,24.763278705484026,970.5922697497998,4.980619132161301,0
3.9088727634601725,68,122,869.4792633749892,24.465986198446675,977.2181908650431,4.9463117502059,0
4.398437387558257,62,121,958.3503280798348,29.682941205363957,1099.6093468895642,5.4482082912701255,0
4.12715118908148,69,133,924.5369547453676,27.847038303127274,1031.78779727037,5.2783106015577435,0
4.398927628244468,71,148,944.1713971878955,30.784996169943792,1099.731907061117,5.548661675781544,0
5.089835674594967,59,119,1001.8616920736488,42.53727390304882,1272.458918648742,6.52214075008917,0
7.8564297971809705,66,97,1580.1001649736081,107.35291576615106,1964.1074492952425,10.363062208885669,0
13.851837547021224,68,104,3063.705493120542,318.32986684717855,3462.9593867553062,17.842657296338597,1
19.525783778143097,76,110,4502.841389612124,621.150795005168,4881.445944535774,24.92321349350132,1
31.511307798813366,68,111,6770.144933243462,1699.9756224444757,7877.826949703342,41.23082049019876,1
31.274134117034716,80,115,6989.034824681979,1620.0039684859114,7818.533529258679,40.250311291661774,1
32.463523181164604,70,104,7014.546942975472,1607.6701137733721,8115.88079529115,40.10085066783344,1
26.519383424932116,72,120,6235.701711562662,1288.5423426242737,6629.845856233029,35.89671193538442,1
22.448864550503544,74,110,4828.919602799426,812.7639831785133,5612.2161376258855,28.510452816582873,1
24.778611245398455,79,110,5456.038593326823,969.2167886758489,6194.652811349613,31.13994809969548,1
25.58885690422821,67,115,4978.218479853105,1059.8049465051993,6397.214226057052,32.55467229864174,1
24.484059129767804,70,115,5101.421963144837,992.2646540705971,6121.014782441951,31.500236590947807,1
24.699954565011765,73,110,5520.291404834884,1039.3149795191016,6174.988641252941,32.23939070628131,1
26.454335615387464,72,105,5824.821948904075,1199.2521535553371,6613.583903846866,34.63026217882901,1
21.3807753764074,72,117,4760.059542052534,746.8171365172459,5345.19384410185,27.328585089402516,1
21.8111190415163,80,105,5136.871679975831,796.5337454273374,5452.779760379075,28.222947887607535,1
20.903365908825645,71,102,4701.260833822034,715.1007187083026,5225.841477206412,26.741370488572194,1
23.25435492878384,71,102,5174.35856078988,912.6731034144015,5813.58873219596,30.21094503782751,1
28.836822788271963,83,114,6446.868702922233,1466.345428164617,7209.2056970679905,38.293416577874225,1
33.3463119611487,62,104,6388.503914442813,1643.5293435728076,8336.577990287175,40.54225455766494,1
39.70993449911707,63,110,8113.909315781559,2526.2983733844694,9927.483624779266,50.267976651242975,1
43.00222645894804,72,110,9099.370615320968,3063.417209065926,10750.55661473701,55.35015877108975,1
41.0478197139419,80,116,8882.020658543983,2676.82581179413,10261.954928485475,51.7477570847167,1
36.98395819182943,61,104,6944.1348407030255,2145.8574583819895,9245.989547957357,46.32367729942085,1
42.12174094529862,62,94,7712.345448967051,2718.046088671798,10530.435236324654,52.13561768680703,1
39.661708150175116,65,110,7639.705835059436,2685.635745509029,9915.427037543779,51.823233511404524,1
9.69430778960613,64,118,2080.2391062553525,166.599562591611,2423.5769474015324,12.909494819211822,1
8.092470790469717,54,112,1542.7863196983053,106.78080353327182,2023.117697617429,10.33482962728247,0
7.412672377198178,62,106,1375.627012267708,95.81291508935458,1853.1680942995445,9.78840829870962,0
6.771845694904754,60,110,1386.3991580765787,76.4662679974428,1692.9614237261885,8.744858674714154,0
5.23002914829078,60,125,1075.2222676545043,41.51971929612929,1307.507287072695,6.446840526858101,0
5.2535101019932675,66,121,1033.4986686947218,41.156089045816714,1313.3775254983168,6.415947922123768,0
4.673527784333806,69,127,1010.8899485599118,35.33935740477383,1168.3819460834516,5.944787152539702,0
4.7830686449941275,75,125,987.5171235703189,38.36839179513474,1195.767161248532,6.194276415766363,0
4.933086461637955,61,117,964.6382549393021,41.23427382079148,1233.2716154094887,6.4233431790613205,0
4.713393639343287,61,123,938.4288089128878,34.37505022637668,1178.3484098358217,5.8631879814415795,0
4.2880183854390275,78,136,998.3891991148121,31.098745589115598,1072.0045963597568,5.577072806365901,0
4.2017216865542055,77,116,935.7602887820032,29.850235286525326,1050.4304216385515,5.463673557698314,0
4.066100492180044,77,121,876.0218446397351,26.15304760982392,1016.525123045011,5.114647955073259,0
4.4499130489763905,68,118,982.3322363946199,31.41621311907978,1112.4782622440976,5.605037457394155,0
4.421933478835908,71,119,869.7251632852731,29.410088702298566,1105.483369708977,5.423180604316487,0
4.275788081928815,73,136,905.7809008757565,28.436635361137174,1068.9470204822037,5.334724876462546,0
4.5791743929610975,61,121,864.0704483272692,32.780593321149226,1144.7935982402744,5.725434544078674,0
4.5189799641016215,73,112,893.9097868696938,35.275336343666595,1129.7449910254054,5.940716357502668,0
4.004925578849871,65,124,891.1605202048809,25.474437649865592,1001.2313947124677,5.048429475563629,0
4.697378973762919,49,127,913.1183338780927,35.91851318805838,1174.3447434407296,5.993319020174002,0
4.181922723348693,80,125,934.1617988297519,27.60696214277023,1045.4806808371732,5.254238190919353,0
3.9061577024214706,79,133,921.6567943569241,23.431565366935725,976.5394256053677,4.84083519122152,0
3.7453432417242456,80,136,919.3167452075561,22.721625599532636,936.3358104310614,4.7673871582588925,0
4.081209051129132,70,141,886.3931378238856,27.806013947456048,1020.302262782283,5.2732742645272115,0
4.2220199335814526,76,120,848.1367459793082,30.047469653303605,1055.504983395363,5.481953385712601,0
8.081199972457517,55,111,1485.565622385112,103.61124581664266,2020.2999931143793,10.181316016043985,0
10.660736147712475,71,100,2442.914916554505,181.94632098826457,2665.184036928119,13.492187034064097,1
18.792934871359414,73,109,4104.180406054416,574.280614908055,4698.233717839854,23.965114669209264,1
24.07927318447337,76,117,5418.993456269833,922.0628398664321,6019.818296118342,30.36553904491662,1
26.52405572598274,73,110,6256.414451638729,1216.6765026733933,6631.013931495685,34.88118287025722,1
27.9208722469212,74,110,6115.808237207799,1270.1644508449826,6980.2180617303,35.639402242084145,1
24.531416730547853,67,108,5153.981195325425,1056.2764401625586,6132.854182636964,32.500408652774496,1
25.275019768532154,70,107,5024.77349429628,1038.5489001724477,6318.754942133039,32.22794506029936,1
24.34207253488328,56,100,4954.568829343108,923.4226822730335,6085.51813372082,30.387896761154682,1
